ExpenditureID,Type,Date,Amount,DueDate,MaintenanceID,StaffID,FurnitureID
55001,Maintenance,2019-04-14,842.32,2019-06-07,2827,null,null
55002,Wages,2018-07-19,130830,2018-09-02,null,168,null
55003,Maintenance,2019-11-03,1299.59,2019-11-30,1512,null,null
55004,Wages,2020-08-09,98502,2020-08-20,null,250,null
55005,Furniture,2020-10-12,948.48,2020-10-24,null,null,11661
55006,Furniture,2017-07-24,538.65,2017-08-20,null,null,14170
55007,Wages,2018-11-02,121446,2018-12-02,null,305,null
55008,Wages,2017-03-18,99436,2017-05-05,null,176,null
55009,Maintenance,2020-07-24,383.1,2020-09-14,1887,null,null
55010,Wages,2016-04-14,90049,2016-05-10,null,289,null
55011,Wages,2018-09-12,147563,2018-10-06,null,230,null
55012,Wages,2016-11-15,83174,2016-12-13,null,208,null
55013,Furniture,2016-12-21,662.62,2017-01-05,null,null,13143
55014,Wages,2017-04-03,97593,2017-05-26,null,161,null
55015,Maintenance,2018-01-23,1937.95,2018-02-16,2472,null,null
55016,Wages,2016-01-20,118715,2016-02-03,null,180,null
55017,Furniture,2020-01-03,591.98,2020-01-16,null,null,10936
55018,Furniture,2020-08-22,875.41,2020-10-21,null,null,13721
55019,Furniture,2017-09-17,821.24,2017-11-06,null,null,13106
55020,Furniture,2020-06-07,944.55,2020-06-30,null,null,13410
55021,Furniture,2017-08-21,978.96,2017-10-03,null,null,12767
55022,Wages,2019-04-05,75969,2019-05-09,null,308,null
55023,Furniture,2018-03-28,931.75,2018-05-10,null,null,11992
55024,Wages,2017-12-26,94438,2018-01-20,null,240,null
55025,Maintenance,2019-02-19,1377.68,2019-04-05,1080,null,null
55026,Wages,2016-11-28,86546,2016-12-14,null,173,null
55027,Maintenance,2015-11-29,230.59,2016-01-21,1302,null,null
55028,Wages,2017-07-10,121547,2017-08-16,null,309,null
55029,Furniture,2017-07-22,950.28,2017-09-03,null,null,12764
55030,Furniture,2019-05-14,934.84,2019-07-04,null,null,12040
55031,Furniture,2018-06-03,903.22,2018-07-10,null,null,12898
55032,Maintenance,2019-01-31,1330.65,2019-03-20,2060,null,null
55033,Furniture,2015-12-10,619.54,2016-01-09,null,null,11061
55034,Furniture,2016-08-19,693.1,2016-10-06,null,null,11468
55035,Maintenance,2020-10-14,1516.38,2020-11-08,1782,null,null
55036,Wages,2018-08-09,133348,2018-08-20,null,265,null
55037,Wages,2017-05-18,57252,2017-07-03,null,153,null
55038,Wages,2017-04-12,64168,2017-05-02,null,193,null
55039,Maintenance,2018-12-15,813.16,2019-02-03,2546,null,null
55040,Maintenance,2019-02-25,455.57,2019-04-23,2540,null,null
55041,Wages,2016-02-01,104011,2016-03-03,null,288,null
55042,Wages,2020-05-13,84613,2020-07-10,null,152,null
55043,Wages,2016-08-26,55045,2016-10-03,null,131,null
55044,Maintenance,2017-04-26,1746.14,2017-05-19,1745,null,null
55045,Furniture,2019-08-22,659.43,2019-09-06,null,null,12136
55046,Furniture,2020-05-04,746.82,2020-05-31,null,null,13766
55047,Wages,2020-09-30,59800,2020-11-01,null,235,null
55048,Maintenance,2018-08-07,877.15,2018-09-08,1097,null,null
55049,Wages,2018-11-13,81954,2018-11-26,null,271,null
55050,Wages,2016-06-07,109554,2016-07-02,null,230,null
55051,Furniture,2017-02-20,861.81,2017-03-26,null,null,13958
55052,Wages,2020-07-19,104964,2020-08-21,null,219,null
55053,Maintenance,2018-02-07,872.68,2018-03-20,2785,null,null
55054,Furniture,2017-10-27,506.1,2017-11-29,null,null,12729
55055,Furniture,2017-10-01,889.46,2017-10-15,null,null,14144
55056,Maintenance,2019-12-19,1139.35,2020-01-09,1236,null,null
55057,Furniture,2018-07-03,507.48,2018-08-10,null,null,12209
55058,Furniture,2019-05-08,824.73,2019-05-26,null,null,13370
55059,Maintenance,2016-07-06,1102.48,2016-07-20,2027,null,null
55060,Furniture,2016-10-15,518.06,2016-12-04,null,null,11648
55061,Furniture,2020-01-21,711.46,2020-02-24,null,null,13767
55062,Wages,2017-03-18,35374,2017-04-18,null,152,null
55063,Furniture,2020-07-27,812.1,2020-09-16,null,null,13826
55064,Maintenance,2017-05-16,1031.85,2017-06-03,1438,null,null
55065,Wages,2016-12-04,96278,2017-01-03,null,205,null
55066,Wages,2016-07-04,113211,2016-08-22,null,293,null
55067,Maintenance,2016-01-17,327.99,2016-02-05,1658,null,null
55068,Maintenance,2020-11-03,692.09,2020-12-25,1409,null,null
55069,Maintenance,2016-09-20,437.22,2016-10-29,1159,null,null
55070,Wages,2020-01-20,84520,2020-03-08,null,148,null
55071,Maintenance,2020-05-21,716.66,2020-07-13,1116,null,null
55072,Wages,2019-01-25,91615,2019-02-23,null,172,null
55073,Furniture,2016-06-13,892.18,2016-08-11,null,null,13893
55074,Furniture,2020-03-10,599.88,2020-04-26,null,null,12637
55075,Furniture,2020-03-19,780.56,2020-04-28,null,null,13502
55076,Wages,2015-11-25,145591,2015-12-18,null,190,null
55077,Wages,2019-07-10,100072,2019-07-20,null,265,null
55078,Maintenance,2018-07-19,743.86,2018-09-08,1136,null,null
55079,Maintenance,2016-12-15,1334.54,2017-01-05,2862,null,null
55080,Wages,2019-12-07,139920,2020-01-11,null,275,null
55081,Maintenance,2020-04-30,1781.4,2020-06-04,1754,null,null
55082,Maintenance,2017-01-17,268.04,2017-01-28,2047,null,null
55083,Wages,2015-12-20,107576,2016-02-13,null,239,null
55084,Wages,2016-03-11,79465,2016-03-21,null,171,null
55085,Maintenance,2019-12-29,1759.59,2020-01-25,2325,null,null
55086,Maintenance,2020-03-25,842.77,2020-05-21,2347,null,null
55087,Wages,2020-04-10,137708,2020-04-30,null,283,null
55088,Wages,2020-05-18,102400,2020-05-31,null,121,null
55089,Maintenance,2017-09-22,293.83,2017-10-06,1200,null,null
55090,Maintenance,2020-03-04,1678.7,2020-03-28,2006,null,null
55091,Wages,2019-02-05,43022,2019-03-12,null,109,null
55092,Maintenance,2018-01-02,1997.94,2018-01-12,1580,null,null
55093,Furniture,2017-11-01,592.74,2017-11-24,null,null,11885
55094,Wages,2019-01-10,41991,2019-02-19,null,120,null
55095,Wages,2020-02-04,58548,2020-04-03,null,175,null
