LeaseID,LeaseType,StartMonth,EndMonth
400,3 Month,3/16/19,6/14/19
404,3 Month,3/16/19,6/14/19
408,3 Month,3/16/19,6/14/19
412,3 Month,3/16/19,6/14/19
416,3 Month,3/16/19,6/14/19
420,3 Month,3/16/19,6/14/19
424,3 Month,3/16/19,6/14/19
428,3 Month,3/16/19,6/14/19
432,3 Month,3/16/19,6/14/19
436,3 Month,3/16/19,6/14/19
440,3 Month,3/16/19,6/14/19
444,3 Month,3/16/19,6/14/19
448,3 Month,3/16/19,6/14/19
452,3 Month,3/16/19,6/14/19
456,3 Month,3/16/19,6/14/19
460,3 Month,3/16/19,6/14/19
464,3 Month,3/16/19,6/14/19
468,3 Month,3/16/19,6/14/19
472,3 Month,3/16/19,6/14/19
476,3 Month,3/16/19,6/14/19
480,3 Month,3/16/19,6/14/19
484,3 Month,3/16/19,6/14/19
488,3 Month,3/16/19,6/14/19
492,3 Month,3/16/19,6/14/19
496,3 Month,3/16/19,6/14/19
500,3 Month,3/16/19,6/14/19
504,3 Month,3/16/19,6/14/19
508,3 Month,3/16/19,6/14/19
512,3 Month,3/16/19,6/14/19
516,3 Month,3/16/19,6/14/19
520,3 Month,3/16/19,6/14/19
524,3 Month,3/16/19,6/14/19
528,3 Month,3/16/19,6/14/19
532,3 Month,3/16/19,6/14/19
536,3 Month,3/16/19,6/14/19
540,3 Month,3/16/19,6/14/19
544,3 Month,3/16/19,6/14/19
548,3 Month,3/16/19,6/14/19
552,3 Month,3/16/19,6/14/19
556,3 Month,3/16/19,6/14/19
560,3 Month,3/16/19,6/14/19
564,3 Month,3/16/19,6/14/19
568,3 Month,3/16/19,6/14/19
572,3 Month,3/16/19,6/14/19
576,3 Month,3/16/19,6/14/19
580,3 Month,3/16/19,6/14/19
584,3 Month,3/16/19,6/14/19
588,3 Month,3/16/19,6/14/19
592,3 Month,3/16/19,6/14/19
596,3 Month,3/16/19,6/14/19
600,3 Month,3/16/19,6/14/19
604,3 Month,3/16/19,6/14/19
608,3 Month,3/16/19,6/14/19
612,3 Month,3/16/19,6/14/19
616,3 Month,3/16/19,6/14/19
620,3 Month,3/16/19,6/14/19
624,3 Month,3/16/19,6/14/19
628,3 Month,3/16/19,6/14/19
632,3 Month,3/16/19,6/14/19
636,3 Month,3/16/19,6/14/19
640,3 Month,3/16/19,6/14/19
644,3 Month,3/16/19,6/14/19
648,3 Month,3/16/19,6/14/19
652,3 Month,3/16/19,6/14/19
656,3 Month,3/16/19,6/14/19
660,3 Month,3/16/19,6/14/19
664,3 Month,3/16/19,6/14/19
668,3 Month,3/16/19,6/14/19
672,3 Month,3/16/19,6/14/19
676,3 Month,3/16/19,6/14/19
680,3 Month,3/16/19,6/14/19
684,3 Month,3/16/19,6/14/19
688,3 Month,3/16/19,6/14/19
692,3 Month,3/16/19,6/14/19
696,3 Month,3/16/19,6/14/19
700,3 Month,3/16/19,6/14/19
704,3 Month,3/16/19,6/14/19
708,3 Month,3/16/19,6/14/19
712,3 Month,3/16/19,6/14/19
716,3 Month,3/16/19,6/14/19
720,3 Month,3/16/19,6/14/19
724,3 Month,3/16/19,6/14/19
728,3 Month,3/16/19,6/14/19
732,3 Month,3/16/19,6/14/19
736,3 Month,3/16/19,6/14/19
740,3 Month,3/16/19,6/14/19
744,3 Month,3/16/19,6/14/19
748,3 Month,3/16/19,6/14/19
752,3 Month,3/16/19,6/14/19
756,3 Month,3/16/19,6/14/19
760,3 Month,3/16/19,6/14/19
764,3 Month,3/16/19,6/14/19
768,3 Month,3/16/19,6/14/19
772,3 Month,3/16/19,6/14/19
776,3 Month,3/16/19,6/14/19
780,3 Month,3/16/19,6/14/19
784,3 Month,3/16/19,6/14/19
788,3 Month,3/16/19,6/14/19
792,3 Month,3/16/19,6/14/19
796,3 Month,3/16/19,6/14/19
800,3 Month,3/16/19,6/14/19
804,3 Month,3/16/19,6/14/19
808,3 Month,3/16/19,6/14/19
812,3 Month,3/16/19,6/14/19
816,3 Month,3/16/19,6/14/19
820,3 Month,3/16/19,6/14/19
824,3 Month,3/16/19,6/14/19
828,3 Month,3/16/19,6/14/19
832,3 Month,3/16/19,6/14/19
836,3 Month,3/16/19,6/14/19
840,3 Month,3/16/19,6/14/19
844,3 Month,3/16/19,6/14/19
848,3 Month,3/16/19,6/14/19
852,3 Month,3/16/19,6/14/19
856,3 Month,3/16/19,6/14/19
860,3 Month,3/16/19,6/14/19
864,3 Month,3/16/19,6/14/19
868,3 Month,3/16/19,6/14/19
872,3 Month,3/16/19,6/14/19
876,3 Month,3/16/19,6/14/19
880,3 Month,3/16/19,6/14/19
884,3 Month,3/16/19,6/14/19
888,3 Month,3/16/19,6/14/19
892,3 Month,3/16/19,6/14/19
896,3 Month,3/16/19,6/14/19
900,3 Month,3/16/19,6/14/19
904,3 Month,3/16/19,6/14/19
908,3 Month,3/16/19,6/14/19
912,3 Month,3/16/19,6/14/19
916,3 Month,3/16/19,6/14/19
920,3 Month,3/16/19,6/14/19
924,3 Month,3/16/19,6/14/19
928,3 Month,3/16/19,6/14/19
932,3 Month,3/16/19,6/14/19
936,3 Month,3/16/19,6/14/19
940,3 Month,3/16/19,6/14/19
944,3 Month,3/16/19,6/14/19
948,3 Month,3/16/19,6/14/19
952,3 Month,3/16/19,6/14/19
956,3 Month,3/16/19,6/14/19
960,3 Month,3/16/19,6/14/19
964,3 Month,3/16/19,6/14/19
968,3 Month,3/16/19,6/14/19
972,3 Month,3/16/19,6/14/19
976,3 Month,3/16/19,6/14/19
980,3 Month,3/16/19,6/14/19
984,3 Month,3/16/19,6/14/19
988,3 Month,3/16/19,6/14/19
992,3 Month,3/16/19,6/14/19
996,3 Month,3/16/19,6/14/19
1000,3 Month,3/16/19,6/14/19
1004,3 Month,3/16/19,6/14/19
1008,3 Month,3/16/19,6/14/19
1012,3 Month,3/16/19,6/14/19
1016,3 Month,3/16/19,6/14/19
1020,3 Month,3/16/19,6/14/19
1024,3 Month,3/16/19,6/14/19
1028,3 Month,3/16/19,6/14/19
1032,3 Month,3/16/19,6/14/19
1036,3 Month,3/16/19,6/14/19
1040,3 Month,3/16/19,6/14/19
1044,3 Month,3/16/19,6/14/19
1048,3 Month,3/16/19,6/14/19
1052,3 Month,3/16/19,6/14/19
1056,3 Month,3/16/19,6/14/19
1060,3 Month,3/16/19,6/14/19
1064,3 Month,3/16/19,6/14/19
1068,3 Month,3/16/19,6/14/19
1072,3 Month,3/16/19,6/14/19
1076,3 Month,3/16/19,6/14/19
1080,3 Month,3/16/19,6/14/19
1084,3 Month,3/16/19,6/14/19
1088,3 Month,3/16/19,6/14/19
1092,3 Month,3/16/19,6/14/19
1096,3 Month,3/16/19,6/14/19
1100,3 Month,3/16/19,6/14/19
1104,3 Month,3/16/19,6/14/19
1108,3 Month,3/16/19,6/14/19
1112,3 Month,3/16/19,6/14/19
1116,3 Month,3/16/19,6/14/19
1120,3 Month,3/16/19,6/14/19
1124,3 Month,3/16/19,6/14/19
1128,3 Month,3/16/19,6/14/19
1132,3 Month,3/16/19,6/14/19
1136,3 Month,3/16/19,6/14/19
1140,3 Month,3/16/19,6/14/19
1144,3 Month,3/16/19,6/14/19
1148,3 Month,3/16/19,6/14/19
1152,3 Month,3/16/19,6/14/19
1156,3 Month,3/16/19,6/14/19
1160,3 Month,3/16/19,6/14/19
1164,3 Month,3/16/19,6/14/19
1168,3 Month,3/16/19,6/14/19
1172,3 Month,3/16/19,6/14/19
1176,3 Month,3/16/19,6/14/19
1180,3 Month,3/16/19,6/14/19
1184,3 Month,3/16/19,6/14/19
1188,3 Month,3/16/19,6/14/19
1192,3 Month,3/16/19,6/14/19
1196,3 Month,3/16/19,6/14/19
1200,3 Month,3/16/19,6/14/19
1204,3 Month,3/16/19,6/14/19
1208,3 Month,3/16/19,6/14/19
1212,3 Month,3/16/19,6/14/19
1216,3 Month,3/16/19,6/14/19
1220,3 Month,3/16/19,6/14/19
1224,3 Month,3/16/19,6/14/19
1228,3 Month,3/16/19,6/14/19
1232,3 Month,3/16/19,6/14/19
1236,3 Month,3/16/19,6/14/19
1240,3 Month,3/16/19,6/14/19
1244,3 Month,3/16/19,6/14/19
1248,3 Month,3/16/19,6/14/19
1252,3 Month,3/16/19,6/14/19
1256,3 Month,3/16/19,6/14/19
1260,3 Month,3/16/19,6/14/19
1264,3 Month,3/16/19,6/14/19
1268,3 Month,3/16/19,6/14/19
1272,3 Month,3/16/19,6/14/19
1276,3 Month,3/16/19,6/14/19
1280,3 Month,3/16/19,6/14/19
1284,3 Month,3/16/19,6/14/19
1288,3 Month,3/16/19,6/14/19
1292,3 Month,3/16/19,6/14/19
1296,3 Month,3/16/19,6/14/19
1300,3 Month,3/16/19,6/14/19
1304,3 Month,3/16/19,6/14/19
1308,3 Month,3/16/19,6/14/19
1312,3 Month,3/16/19,6/14/19
1316,3 Month,3/16/19,6/14/19
1320,3 Month,3/16/19,6/14/19
1324,3 Month,3/16/19,6/14/19
1328,3 Month,3/16/19,6/14/19
1332,3 Month,3/16/19,6/14/19
1336,3 Month,3/16/19,6/14/19
1340,3 Month,3/16/19,6/14/19
1344,3 Month,3/16/19,6/14/19
1348,3 Month,3/16/19,6/14/19
1352,3 Month,3/16/19,6/14/19
1356,3 Month,3/16/19,6/14/19
1360,3 Month,3/16/19,6/14/19
1364,3 Month,3/16/19,6/14/19
1368,3 Month,3/16/19,6/14/19
1372,3 Month,3/16/19,6/14/19
1376,3 Month,3/16/19,6/14/19
1380,3 Month,3/16/19,6/14/19
1384,3 Month,3/16/19,6/14/19
1388,3 Month,3/16/19,6/14/19
1392,3 Month,3/16/19,6/14/19
1396,3 Month,3/16/19,6/14/19
1400,3 Month,3/16/19,6/14/19
1404,3 Month,3/16/19,6/14/19
1408,3 Month,3/16/19,6/14/19
1412,3 Month,3/16/19,6/14/19
1416,3 Month,3/16/19,6/14/19
1420,3 Month,3/16/19,6/14/19
1424,3 Month,3/16/19,6/14/19
1428,3 Month,3/16/19,6/14/19
1432,3 Month,3/16/19,6/14/19
1436,3 Month,3/16/19,6/14/19
1440,3 Month,3/16/19,6/14/19
1444,3 Month,3/16/19,6/14/19
1448,3 Month,3/16/19,6/14/19
1452,3 Month,3/16/19,6/14/19
1456,3 Month,3/16/19,6/14/19
1460,3 Month,3/16/19,6/14/19
1464,3 Month,3/16/19,6/14/19
1468,3 Month,3/16/19,6/14/19
1472,3 Month,3/16/19,6/14/19
1476,3 Month,3/16/19,6/14/19
1480,3 Month,3/16/19,6/14/19
1484,3 Month,3/16/19,6/14/19
1488,3 Month,3/16/19,6/14/19
1492,3 Month,3/16/19,6/14/19
1496,3 Month,3/16/19,6/14/19
1500,3 Month,3/16/19,6/14/19
