PaymentID,PaymentDate,Type,Amount,RentID
1001,2019-03-16,Rent Expense,2301.93,1500
1002,2019-03-16,Rent Expense,3940.97,1515
1003,2019-03-16,Rent Expense,2986.96,1530
1004,2019-03-16,Rent Expense,910.82,1545
1005,2019-03-16,Rent Expense,2998.32,1560
1006,2019-03-16,Rent Expense,3017.59,1575
1007,2019-03-16,Rent Expense,3561.24,1590
1008,2019-03-16,Rent Expense,908.29,1605
1009,2019-03-16,Rent Expense,1730.8,1620
1010,2019-03-16,Rent Expense,1813.55,1635
1011,2019-03-16,Rent Expense,1858.87,1650
1012,2019-03-16,Rent Expense,2696.74,1665
1013,2019-03-16,Rent Expense,2264.3,1680
1014,2019-03-16,Rent Expense,2484.36,1695
1015,2019-03-16,Rent Expense,1185.46,1710
1016,2019-03-16,Rent Expense,3340.73,1725
1017,2019-03-16,Rent Expense,3594.87,1740
1018,2019-03-16,Rent Expense,1370.92,1755
1019,2019-03-16,Rent Expense,2666.09,1770
1020,2019-03-16,Rent Expense,1061.23,1785
1021,2019-03-16,Rent Expense,2395.38,1800
1022,2019-03-16,Rent Expense,1563.23,1815
1023,2019-03-16,Rent Expense,1234.8,1830
1024,2019-03-16,Rent Expense,3500.57,1845
1025,2019-03-16,Rent Expense,1160.94,1860
1026,2019-03-16,Rent Expense,3354.93,1875
1027,2019-03-16,Rent Expense,1790.33,1890
1028,2019-03-16,Rent Expense,2049.8,1905
1029,2019-03-16,Rent Expense,2257.93,1920
1030,2019-03-16,Rent Expense,2658.41,1935
1031,2019-03-16,Rent Expense,3269.09,1950
1032,2019-03-16,Rent Expense,2831.16,1965
1033,2019-03-16,Rent Expense,3964.98,1980
1034,2019-03-16,Rent Expense,3369.5,1995
1035,2019-03-16,Rent Expense,2844.99,2010
1036,2019-03-16,Rent Expense,2134.79,2025
1037,2019-03-16,Rent Expense,1719.14,2040
1038,2019-03-16,Rent Expense,1277.39,2055
1039,2019-03-16,Rent Expense,2970.23,2070
1040,2019-03-16,Rent Expense,2250.15,2085
1041,2019-03-16,Rent Expense,3324,2100
1042,2019-03-16,Rent Expense,3726.93,2115
1043,2019-03-16,Rent Expense,3916.04,2130
1044,2019-03-16,Rent Expense,3293.88,2145
1045,2019-03-16,Rent Expense,1520.39,2160
1046,2019-03-16,Rent Expense,3860.65,2175
1047,2019-03-16,Rent Expense,2268.19,2190
1048,2019-03-16,Rent Expense,3753.34,2205
1049,2019-03-16,Rent Expense,2876.94,2220
1050,2019-03-16,Rent Expense,972.11,2235
1051,2019-03-16,Rent Expense,3487.52,2250
1052,2019-03-16,Rent Expense,3142.86,2265
1053,2019-03-16,Rent Expense,2158.17,2280
1054,2019-03-16,Rent Expense,2667.21,2295
1055,2019-03-16,Rent Expense,2767.06,2310
1056,2019-03-16,Rent Expense,1235.85,2325
1057,2019-03-16,Rent Expense,956.62,2340
1058,2019-03-16,Rent Expense,2145.13,2355
1059,2019-03-16,Rent Expense,2226.26,2370
1060,2019-03-16,Rent Expense,1148.86,2385
1061,2019-03-16,Rent Expense,1985.41,2400
1062,2019-03-16,Rent Expense,982.67,2415
1063,2019-03-16,Rent Expense,1316.96,2430
1064,2019-03-16,Rent Expense,3011.47,2445
1065,2019-03-16,Rent Expense,1357.95,2460
1066,2019-03-16,Rent Expense,880.63,2475
1067,2019-03-16,Rent Expense,1679.47,2490
1068,2019-03-16,Rent Expense,2094.55,2505
