RentID,Amount,LeaseID,ApartmentID
1500,2301.93,400,100
1515,3940.97,404,101
1530,2986.96,408,102
1545,910.82,412,103
1560,2998.32,416,104
1575,3017.59,420,105
1590,3561.24,424,106
1605,908.29,428,107
1620,1730.8,432,108
1635,1813.55,436,109
1650,1858.87,440,110
1665,2696.74,444,111
1680,2264.3,448,112
1695,2484.36,452,113
1710,1185.46,456,114
1725,3340.73,460,115
1740,3594.87,464,116
1755,1370.92,468,117
1770,2666.09,472,118
1785,1061.23,476,119
1800,2395.38,480,120
1815,1563.23,484,121
1830,1234.8,488,122
1845,3500.57,492,123
1860,1160.94,496,124
1875,3354.93,500,125
1890,1790.33,504,126
1905,2049.8,508,127
1920,2257.93,512,128
1935,2658.41,516,129
1950,3269.09,520,130
1965,2831.16,524,131
1980,3964.98,528,132
1995,3369.5,532,133
2010,2844.99,536,134
2025,2134.79,540,135
2040,1719.14,544,136
2055,1277.39,548,137
2070,2970.23,552,138
2085,2250.15,556,139
2100,3324,560,140
2115,3726.93,564,141
2130,3916.04,568,142
2145,3293.88,572,143
2160,1520.39,576,144
2175,3860.65,580,145
2190,2268.19,584,146
2205,3753.34,588,147
2220,2876.94,592,148
2235,972.11,596,149
2250,3487.52,600,150
2265,3142.86,604,151
2280,2158.17,608,152
2295,2667.21,612,153
2310,2767.06,616,154
2325,1235.85,620,155
2340,956.62,624,156
2355,2145.13,628,157
2370,2226.26,632,158
2385,1148.86,636,159
2400,1985.41,640,160
2415,982.67,644,161
2430,1316.96,648,162
2445,3011.47,652,163
2460,1357.95,656,164
2475,880.63,660,165
2490,1679.47,664,166
2505,2094.55,668,167
2520,1653.01,672,168
2535,3295.16,676,169
2550,3566.75,680,170
2565,2872.21,684,171
2580,1069.36,688,172
2595,2977.43,692,173
2610,2658.69,696,174
2625,3503.55,700,175
2640,1505.18,704,176
2655,2920.68,708,177
2670,2704.53,712,178
2685,1584.39,716,179
2700,2894.22,720,180
2715,3415.82,724,181
2730,3427.06,728,182
2745,3682.13,732,183
2760,2152.39,736,184
2775,1952.85,740,185
2790,3107.14,744,186
2805,1056.68,748,187
2820,1336.81,752,188
2835,2206.1,756,189
2850,1175.24,760,190
2865,2643.99,764,191
2880,3324.46,768,192
2895,1215.85,772,193
2910,1820.7,776,194
2925,2982.17,780,195
2940,2001.28,784,196
2955,1139.78,788,197
2970,1663.5,792,198
2985,815.17,796,199
3000,2441.22,800,200
3015,1321.19,804,201
3030,3096.8,808,202
3045,1146.3,812,203
3060,2068.53,816,204
3075,3348.19,820,205
